1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 -0 0
2 0 0
3 0 1
3 -0 1
3 0 1
4 -0 1
5 -0 2
5 0 2
6 0 2
7 0 3
7 0 3
8 0 4
10 0 4
11 -0 5
12 -0 6
14 -0 7
15 0 7
17 -0 8
19 -0 9
22 0 10
25 -0 12
28 0 14
31 -0 15
35 0 17
39 -0 19
44 0 21
50 -0 25
56 0 28
63 -0 31
70 -0 35
79 0 39
89 0 44
100 -0 49
112 0 56
125 0 63
141 0 70
158 0 78
177 0 87
199 -0 99
223 0 113
251 0 125
281 -0 138
316 0 157
354 0 175
398 -0 199
446 0 221
501 -0 249
562 0 279
630 -0 310
707 0 354
794 0 391
891 0 455
1000 0 497
1122 -0 561
1258 -0 627
1412 0 709
1584 0 788
1778 -0 895
1995 0 1006
2238 0 1113
2511 -0 1259
2818 -0 1388
3162 0 1567
3548 0 1792
3981 -0 1955
4466 0 2191
5011 -1 2531
5623 0 2833
6309 -0 3061
7079 0 3490
7943 0 4046
8912 1 4504
10000 -0 5015
11220 -0 5589
12589 0 6267
14125 -1 7053
15848 0 7882
17782 2 8704
19952 -1 9936
22387 -0 11201
25118 -0 12700
28183 0 13937
31622 -2 15727
35481 -0 17595
39810 1 20087
44668 1 22154
50118 0 25147
56234 -1 28121
63095 -1 31345
70794 1 34736
79432 -4 38983
89125 1 44166
